"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_PT10M_T2M","3660","2023-05-21T09:40:00","17.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T09:50:00","18.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T10:00:00","18.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T10:10:00","18.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T10:20:00","18.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T10:30:00","18.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T10:40:00","18.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T10:50:00","18.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T11:00:00","18.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T11:10:00","18.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T11:20:00","19.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T11:30:00","19.2","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T11:40:00","19.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T11:50:00","19.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T12:00:00","19.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T12:10:00","19.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T12:20:00","19.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T12:30:00","19.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T12:40:00","20.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T12:50:00","19.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T13:00:00","19.9","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T13:10:00","19.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T13:20:00","19.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T13:30:00","19.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-21T13:40:00","20.3","11","2",
